job_title,company_name,location,is_remote,salary_min,salary_max,skills_required,experience,date_posted,job_url,description
Data analyst - india,PolyWorks India,Chhatrapati Sambhajinagar,False,,,,,2026-04-10T23:00:00.000Z,https://en-in.whatjobs.com/jobs/data-analyst-india/aurangabad-maharashtra-2?id=231381654&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"You are curious, analytical, and a strong team player? Great, you’re exactly the kind of person we’d love to meet!

The Gateway team is looking for a Data Analyst to create data enablement tools that support Innov Metric’s Digital Thread. In this role, you will design dashboards, build data integrat"
IN_Senior Associate_ Data Analyst _D&A_Advisory_PAN India,PricewaterhouseCoopers Professional Services LLP,IN,False,,,,,2026-04-10T00:00:00.000Z,https://in.indeed.com/viewjob?jk=a0c8a49649cfe98a&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Line of Service

Advisory

Industry/Sector

Not Applicable

Specialism

Data, Analytics & AI

Management Level

Senior Associate

Job Description & Summary

At PwC, our people in data and analytics focus on leveraging data to drive insights and make informed business decisions. They utilise advanced"
Associate Data Analyst,UnitedHealth Group,Hyderabad,False,,,,,2026-04-08T00:00:00.000Z,https://careers.unitedhealthgroup.com/job/hyderabad/associate-data-analyst/34088/93760954464?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, yo"
"Senior Analyst, Analytics – Lowe’s (L09)",Synchrony Financial,IN,False,,,,,2026-04-09T00:00:00.000Z,https://www.synchronycareers.com/job/telangana/senior-analyst-analytics-lowe-s-l09/49394/93791048144?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Role/Job Title: Senior Analyst, Analytics – Lowe’s (L09)

Company Overview: Synchrony (NYSE: SYF) is a premier consumer financial services company delivering one of the industry’s most complete digitally enabled product suites. Our experience, expertise and scale encompass a broad spectrum of indust"
"Data Analyst (Business Intelligence, Python, Machine Learning, Power BI)",FIS Global,Gurugram,False,,,,,2026-04-04T00:00:00.000Z,https://careers.fisglobal.com/us/en/job/FIGLUSJR0304808EXTERNAL/Data-Analyst-Business-Intelligence-Python-Machine-Learning-Power-BI?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Position Type :
Full time

Type Of Hire :
Experienced (relevant combo of work and education)

Education Desired :
Bachelor's Degree

As the world works and lives faster, FIS is leading the way. Our fintech solutions touch nearly every market, company and person on the planet. Our teams are inclusive"
Senior BI/Data Analyst (Power BI / Tableau) - India,Exusia,IN,True,,,,,2026-04-05T00:00:00.000Z,https://builtin.com/job/senior-bi-data-analyst-power-bi-tableau-india/8969173?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Description

Department: Sales and Delivery Team - Empower

Industry: Information Technology & Services, Computer Software, Management Consulting

Location: Hyderabad, Pune, Bangalore, Chennai & Delhi/NCR

Experience Range: 6+ years

Basic Qualification: Master/Bachelor of Engineering or Equivalent
"
Data Analyst - SAS and SQL,Early Career,Gurugram,False,,,,,2026-03-31T00:00:00.000Z,https://jobs.citi.com/job/haryana/data-analyst-sas-and-sql/287/93452193328?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Control Automation Development- Analyst2 (C10)-SIS

About CITI

Citi's mission is to serve as a trusted partner to our clients by responsibly providing financial services that enable growth and economic progress. We have 200+ years of experience helping our clients meet the world's toughest challeng"
Data Analyst Sr Expert,Philips,Chennai,False,,,,,2026-04-08T00:00:00.000Z,https://www.careers.philips.com/in/en/job/578760/Data-Analyst-Sr-Expert?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Job Title
Data Analyst Sr Expert

Job Description

Job Title : Data Analyst Sr Expert

Job Responsibilities:
• Handles analysis of complex datasets using advanced statistical methods and machine learning techniques to uncover deep insights that inform strategic business decisions and operational eff"
"GBS Data Analyst II, Procurement",CrowdStrike,IN,False,,,,,2026-04-07T00:00:00.000Z,https://www.bayt.com/en/india/jobs/gbs-data-analyst-ii-procurement-74395340/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"As a global leader in cybersecurity, CrowdStrike protects the people, processes and technologies that drive modern organizations. Since 2011, our mission hasn’t changed — we’re here to stop breaches, and we’ve redefined modern security with the world’s most advanced AI-native platform. Our customers"
Human Resources Data Analyst,Bechtel Corporation,IN,False,,,,,2026-04-07T00:00:00.000Z,https://www.shine.com/jobs/human-resources-data-analyst/bechtel-corporation/18899996?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Role Overview:
You will be the HR Data Analyst in the Human Resources department at Bechtel, responsible for providing business users and management with easy access to comprehensive, integrated workforce and talent information and analysis. Your role will involve creating and maintaining PowerBI re"
Data Analyst - Full Time,Burgrill India,New Delhi,False,,,,,2026-03-30T00:00:00.000Z,https://in.jooble.org/rjdp/-8481182183441921400?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Company Description Burgrill India, established in 2016, is renowned for serving fresh, honest, and flavorful grilled food, with a special focus on quality and the art of grilling. Starting from a single outlet, it has grown to over 70 locations across India, becoming a beloved brand for those seeki"
Sales Data Analyst,RSM US,IN,False,,,,,2026-04-06T00:00:00.000Z,https://www.shine.com/jobs/sales-data-analyst/rsm-us/18893280?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"As a Sales Data Analyst at RSM US, you will play a crucial role in providing data-driven insights to the sales team. Your expertise in data analysis, reporting, and visualization will be key in analyzing sales performance and identifying areas for improvement. Your analytical skills and problem-solv"
Senior Analyst - Business Intelligence,United Airlines,Gurugram,False,,,,,2026-04-09T00:00:00.000Z,https://careers.united.com/us/en/job/GGN00002438/Senior-Analyst-Business-Intelligence?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Achieving our goals starts with supporting yours. Grow your career, access top-tier health and wellness benefits, build lasting connections with your team and our customers, and travel the world using our extensive route network.

Come join us to create what’s next. Let’s define tomorrow, together.
"
"Data Analyst, ESG Data Operations | Ahmedabad, IN",S&P Global,Ahmedabad,False,,,,,2026-03-30T00:00:00.000Z,https://www.efinancialcareers.com/jobs-India-Ahmedabad-Data_Analyst_ESG_Data_Operations.id24054164?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"About the Role:

Grade Level (for internal use):
07

The Team

The EDO Sustainable1 DATA OPERATIONS team at S&P Global is a project-focused, international group dedicated to excellence in sustainability data management. We are responsible for one of the world's most complete datasets on corporate su"
Remote Data Analyst - 60736,Turing,Dehradun,False,,,,,2026-03-20T00:00:00.000Z,https://bebee.com/in/jobs/remote-data-analyst-60736-turing-dehradun--talent-18a96ca81d75?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"About Turing:

Based in San Francisco, California, Turing is the world’s leading research accelerator for frontier AI labs and a trusted partner for global enterprises deploying advanced AI systems.

Turing supports customers in two ways: first, by accelerating frontier research with high-quality da"
